ascat_1,ascat_2,ascat_3,date,oscat_1,oscat_2,oscat_3,qscat_1,qscat_2,qscat_3
0,0,0,2008075,0,0,0,-65.3826,116.293,1
0,0,0,2008076,0,0,0,-65.3826,116.293,1
0,0,0,2008077,0,0,0,-65.3826,116.293,1
0,0,0,2008078,0,0,0,-65.3826,116.293,1
0,0,0,2008079,0,0,0,-65.3826,116.293,1
0,0,0,2008080,0,0,0,-65.3826,116.293,1
0,0,0,2008081,0,0,0,-65.3826,116.293,1
0,0,0,2008082,0,0,0,-65.3826,116.293,1
0,0,0,2008083,0,0,0,-65.3826,116.293,1
0,0,0,2008084,0,0,0,-65.3826,116.293,1
0,0,0,2008085,0,0,0,-65.3826,116.293,0
0,0,0,2008086,0,0,0,-65.3826,116.293,0
0,0,0,2008087,0,0,0,-65.3826,116.293,0
0,0,0,2008088,0,0,0,-65.3826,116.293,0
0,0,0,2008089,0,0,0,-65.3826,116.293,0
0,0,0,2008090,0,0,0,-65.3826,116.293,1
0,0,0,2008091,0,0,0,-65.3826,116.293,0
0,0,0,2008092,0,0,0,-65.3826,116.293,0
0,0,0,2008093,0,0,0,-65.3826,116.293,0
0,0,0,2008094,0,0,0,-65.3826,116.293,0
0,0,0,2008095,0,0,0,-65.3826,116.293,0
0,0,0,2008096,0,0,0,-65.3826,116.293,1
0,0,0,2008097,0,0,0,-65.3826,116.293,1
0,0,0,2008098,0,0,0,-65.3826,116.293,1
0,0,0,2008099,0,0,0,-65.3826,116.293,1
0,0,0,2008100,0,0,0,-65.3826,116.293,1
0,0,0,2008101,0,0,0,-65.3826,116.293,1
0,0,0,2008102,0,0,0,-65.3826,116.293,1
0,0,0,2008103,0,0,0,-65.3826,116.293,1
0,0,0,2008104,0,0,0,-65.3826,116.293,1
0,0,0,2008105,0,0,0,-65.3826,116.293,1
0,0,0,2008106,0,0,0,-65.3826,116.293,1
0,0,0,2008107,0,0,0,-65.3826,116.293,1
0,0,0,2008108,0,0,0,-65.3826,116.293,1
0,0,0,2008109,0,0,0,-65.3826,116.293,1
0,0,0,2008110,0,0,0,-65.3826,116.293,1
0,0,0,2008111,0,0,0,-65.3826,116.293,1
0,0,0,2008112,0,0,0,-65.3826,116.293,1
0,0,0,2008113,0,0,0,-65.3826,116.293,1
0,0,0,2008114,0,0,0,-65.3826,116.293,1
0,0,0,2008115,0,0,0,-65.3826,116.293,1
0,0,0,2008116,0,0,0,-65.3826,116.293,1
0,0,0,2008117,0,0,0,-65.3826,116.293,1
0,0,0,2008118,0,0,0,-65.3826,116.293,1
0,0,0,2008119,0,0,0,-65.3826,116.293,1
0,0,0,2008120,0,0,0,-65.3826,116.293,0
0,0,0,2008121,0,0,0,-65.3826,116.293,1
0,0,0,2008122,0,0,0,-65.3826,116.293,1
0,0,0,2008123,0,0,0,-65.433,116.3332,1
0,0,0,2008124,0,0,0,-65.433,116.3332,1
0,0,0,2008125,0,0,0,-65.433,116.3332,1
0,0,0,2008126,0,0,0,-65.433,116.3332,1
0,0,0,2008127,0,0,0,-65.433,116.3332,1
0,0,0,2008128,0,0,0,-65.433,116.3332,1
0,0,0,2008129,0,0,0,-65.433,116.3332,1
0,0,0,2008130,0,0,0,-65.433,116.3332,1
0,0,0,2008131,0,0,0,-65.433,116.3332,1
0,0,0,2008132,0,0,0,-65.433,116.3332,1
0,0,0,2008133,0,0,0,-65.433,116.3332,1
0,0,0,2008134,0,0,0,-65.433,116.3332,1
0,0,0,2008135,0,0,0,-65.433,116.3332,1
0,0,0,2008136,0,0,0,-65.433,116.3332,1
0,0,0,2008137,0,0,0,-65.433,116.3332,1
0,0,0,2008138,0,0,0,-65.433,116.3332,1
0,0,0,2008139,0,0,0,-65.433,116.3332,1
0,0,0,2008140,0,0,0,-65.433,116.3332,1
0,0,0,2008141,0,0,0,-65.433,116.3332,1
0,0,0,2008142,0,0,0,-65.433,116.3332,1
0,0,0,2008143,0,0,0,-65.433,116.3332,1
0,0,0,2008144,0,0,0,-65.433,116.3332,1
0,0,0,2008145,0,0,0,-65.433,116.3332,1
0,0,0,2008146,0,0,0,-65.433,116.3332,1
0,0,0,2008147,0,0,0,-65.433,116.3332,1
0,0,0,2008148,0,0,0,-65.433,116.3332,1
0,0,0,2008149,0,0,0,-65.433,116.3332,1
0,0,0,2008150,0,0,0,-65.433,116.3332,1
0,0,0,2008151,0,0,0,-65.433,116.3332,1
0,0,0,2008152,0,0,0,-65.433,116.3332,1
0,0,0,2008153,0,0,0,-65.433,116.3332,1
0,0,0,2008154,0,0,0,-65.433,116.3332,1
0,0,0,2008155,0,0,0,-65.433,116.3332,1
0,0,0,2008156,0,0,0,-65.433,116.3332,1
0,0,0,2008157,0,0,0,-65.433,116.3332,1
0,0,0,2008158,0,0,0,-65.433,116.3332,1
0,0,0,2008159,0,0,0,-65.433,116.3332,1
0,0,0,2008160,0,0,0,-65.433,116.3332,1
0,0,0,2008161,0,0,0,-65.433,116.3332,1
0,0,0,2008162,0,0,0,-65.433,116.3332,1
0,0,0,2008163,0,0,0,-65.433,116.3332,1
0,0,0,2008164,0,0,0,-65.433,116.3332,1
0,0,0,2008165,0,0,0,-65.433,116.3332,1
0,0,0,2008166,0,0,0,-65.433,116.3332,1
0,0,0,2008167,0,0,0,-65.433,116.3332,1
0,0,0,2008168,0,0,0,-65.433,116.3332,1
0,0,0,2008169,0,0,0,-65.433,116.3332,1
0,0,0,2008170,0,0,0,-65.433,116.3332,1
0,0,0,2008171,0,0,0,-65.433,116.3332,1
0,0,0,2008172,0,0,0,-65.433,116.3332,1
0,0,0,2008173,0,0,0,-65.433,116.3332,1
0,0,0,2008174,0,0,0,-65.433,116.3332,1
0,0,0,2008175,0,0,0,-65.433,116.3332,1
0,0,0,2008176,0,0,0,-65.433,116.3332,1
0,0,0,2008177,0,0,0,-65.433,116.3332,1
0,0,0,2008178,0,0,0,-65.433,116.3332,1
0,0,0,2008179,0,0,0,-65.433,116.3332,1
0,0,0,2008180,0,0,0,-65.433,116.3332,1
0,0,0,2008181,0,0,0,-65.433,116.3332,1
0,0,0,2008182,0,0,0,-65.433,116.3332,1
0,0,0,2008183,0,0,0,-65.433,116.3332,1
0,0,0,2008184,0,0,0,-65.433,116.3332,1
0,0,0,2008185,0,0,0,-65.433,116.3332,1
0,0,0,2008186,0,0,0,-65.433,116.3332,1
0,0,0,2008187,0,0,0,-65.433,116.3332,1
0,0,0,2008188,0,0,0,-65.433,116.3332,1
0,0,0,2008189,0,0,0,-65.433,116.3332,1
0,0,0,2008190,0,0,0,-65.433,116.3332,1
0,0,0,2008191,0,0,0,-65.433,116.3332,1
0,0,0,2008192,0,0,0,-65.433,116.3332,1
0,0,0,2008193,0,0,0,-65.433,116.3332,1
0,0,0,2008194,0,0,0,-65.433,116.3332,1
0,0,0,2008195,0,0,0,-65.433,116.3332,1
0,0,0,2008196,0,0,0,-65.433,116.3332,1
0,0,0,2008197,0,0,0,-65.433,116.3332,1
0,0,0,2008198,0,0,0,-65.433,116.3332,1
0,0,0,2008199,0,0,0,-65.433,116.3332,1
0,0,0,2008200,0,0,0,-65.433,116.3332,1
0,0,0,2008201,0,0,0,-65.433,116.3332,1
0,0,0,2008202,0,0,0,-65.433,116.3332,1
0,0,0,2008203,0,0,0,-65.433,116.3332,1
0,0,0,2008204,0,0,0,-65.433,116.3332,1
0,0,0,2008205,0,0,0,-65.433,116.3332,1
0,0,0,2008206,0,0,0,-65.433,116.3332,1
0,0,0,2008207,0,0,0,-65.433,116.3332,1
0,0,0,2008208,0,0,0,-65.433,116.3332,1
0,0,0,2008209,0,0,0,-65.433,116.3332,1
0,0,0,2008210,0,0,0,-65.433,116.3332,1
